ach,com,dpa_descan,dpa_despar,dpa_despro,eac,fen,frm,nam,objectid,plz,rgm,sol,tipo_mineral,tmm,ttm
189,RENACER,LIMON INDANZA,INDANZA,MORONA SANTIAGO,INSCRITA,1003208400000,EXPLORACION-EXPLOTACION,100016.1,3,256,PEQUEÑA MINERIA,CONCESION MINERA,NO METALICO,ARCILLA, EXPLOTACION MINERA DEL SUR EXPLOSUR C. A.
4498,CURIGEM 2,LIMON INDANZA,SAN MIGUEL DE CONCHAY,MORONA SANTIAGO,INSCRITA,1025672400000,EXPLORACION AVANZADA,100074,4,266,GRAN MINERIA,CONCESION MINERA,METALICO,COBRE, EXPLORCOBRES S.A.
3263,CURIGEM 3,LIMON INDANZA,SAN MIGUEL DE CONCHAY,MORONA SANTIAGO,INSCRITA,1025672400000,EXPLORACION AVANZADA,100075,5,266,GRAN MINERIA,CONCESION MINERA,METALICO,COBRE, EXPLORCOBRES S.A.
4070,CURIGEM 6,SAN JUAN BOSCO,SANTIAGO DE PANANZA,MORONA SANTIAGO,INSCRITA,1025672400000,EXPLORACION INICIAL,100078,6,264,REGIMEN GENERAL,CONCESION MINERA,METALICO,COBRE, EXPLORCOBRES S.A.
5000,CURIGEM 7,SAN JUAN BOSCO,SANTIAGO DE PANANZA,MORONA SANTIAGO,INSCRITA,1025672400000,EXPLORACION INICIAL,100079,7,264,REGIMEN GENERAL,CONCESION MINERA,METALICO,COBRE, EXPLORCOBRES S.A.
2998,CURIGEM 8,SAN JUAN BOSCO,SAN CARLOS DE LIMON,MORONA SANTIAGO,INSCRITA,1024549200000,EXPLORACION AVANZADA,100080,8,266,GRAN MINERIA,CONCESION MINERA,METALICO,COBRE, EXPLORCOBRES S.A.
4049,CURIGEM 9,LIMON INDANZA,SAN MIGUEL DE CONCHAY,MORONA SANTIAGO,INSCRITA,1024549200000,EXPLORACION AVANZADA,100081,9,265,GRAN MINERIA,CONCESION MINERA,METALICO,ORO PLATA COBRE, LOWELL MINERAL EXPLORATION ECUADOR S.A.
850,CURIGEM 11,SAN JUAN BOSCO,SAN JACINTO DE WAKAMBEIS,MORONA SANTIAGO,INSCRITA,1024549200000,EXPLORACION INICIAL,100083,10,266,REGIMEN GENERAL,CONCESION MINERA,METALICO,COBRE, EXPLORCOBRES S.A.
6,HUAYNACAPAC,LIMON INDANZA,GRAL LEONIDAS PLAZA GUTIERREZ((LIMON) CAB CANTONAL,MORONA SANTIAGO,INSCRITA,1003899600000,EXPLORACION-EXPLOTACION,100100.1,11,257,PEQUEÑA MINERIA,CONCESION MINERA,NO METALICO,ARCILLA, EXPLOTACION MINERA DEL SUR EXPLOSUR C. A.
62,XIMENA II,LIMON INDANZA,SANTA SUSANA DE CHIVIAZA (CAB. EN CHIVIAZA),MORONA SANTIAGO,INSCRITA,997333200000,EXPLORACION-EXPLOTACION,100102.1,12,254,PEQUEÑA MINERIA,CONCESION MINERA,NO METALICO,ARCILLA, EXPLOTACION MINERA DEL SUR EXPLOSUR C. A.
2860,CURIGEM 22,SAN JUAN BOSCO,SAN CARLOS DE LIMON,MORONA SANTIAGO,INSCRITA,1024549200000,EXPLORACION INICIAL,100128,13,264,REGIMEN GENERAL,CONCESION MINERA,METALICO,COBRE, EXPLORCOBRES S.A.
32,ALDEBERAN III,NABON,CHOCHOPANTA,AZUAY,INSCRITA,1275022800000,EXPLORACION-EXPLOTACION,100144.1,14,360,PEQUEÑA MINERIA,CONCESION MINERA,NO METALICO,FELDESPATO, FUENLABRADA CIA. LTDA.
270,SAN LUIS A2,CUENCA,MOLLETURO,AZUAY,INSCRITA,1270702800000,EXPLOTACION,100160,15,258,MEDIANA MINERIA,CONCESION MINERA,METALICO,ORO, ECUAGOLDMINING SOUTH AMERICA S.A.
750,GRETHA PIEDAD,SANTIAGO,SANTIAGO,MORONA SANTIAGO,INSCRITA,1003813200000,EXPLORACION-EXPLOTACION,100170.1,16,257,PEQUEÑA MINERIA,CONCESION MINERA,NO METALICO,CALIZA, UNION CEMENTERA NACIONAL UCEM S A
420,GUABISAY,PUCARA,PUCARA,AZUAY,INSCRITA,1274850000000,EXPLORACION-EXPLOTACION,100189.1,17,252,PEQUEÑA MINERIA,CONCESION MINERA,METALICO,ORO, MINCOSMO S.A.
29,ROSARIO II,LIMON INDANZA,YUNGANZA EL ROSARIO,MORONA SANTIAGO,INSCRITA,1003899600000,EXPLORACION-EXPLOTACION,100217.1,19,257,PEQUEÑA MINERIA,CONCESION MINERA,NO METALICO,CALIZA, EXPLOTACION MINERA DEL SUR EXPLOSUR C. A.
8,RAUL 1,SANTA ISABEL,SANTA ISABEL,AZUAY,INSCRITA,1273467600000,EXPLORACION-EXPLOTACION,100231,20,256,PEQUEÑA MINERIA,CONCESION MINERA,MATERIAL DE CONSTRUCCION,ARENA, COMPAÑIA RODAS & YANEZ RODYAN CIA. LTDA.
178,VINTIMILLA,CUENCA,QUINGEO,AZUAY,INSCRITA,1274850000000,EXPLORACION-EXPLOTACION,100254.1,21,257,PEQUEÑA MINERIA,CONCESION MINERA,NO METALICO,CAOLIN, ITALPISOS SA
25,SAN PABLO II,CUENCA,TARQUI,AZUAY,INSCRITA,1000357200000,EVALUACION ECONOMICA EXTENSION,100256,22,256,REGIMEN GENERAL,CONCESION MINERA,NO METALICO,FELDESPATO, ITALPISOS SA
16,VICTORIA,CUENCA,CUENCA,AZUAY,INSCRITA,1275022800000,EXPLOTACION,100261.1,23,360,PEQUEÑA MINERIA,CONCESION MINERA,NO METALICO,ARCILLA,SINCHI PARAPI JOSE MANUEL
120,DELIA ROSA,LIMON INDANZA,GRAL LEONIDAS PLAZA GUTIERREZ((LIMON) CAB CANTONAL,MORONA SANTIAGO,INSCRITA,997246800000,EXPLORACION-EXPLOTACION,100355.1,26,256,PEQUEÑA MINERIA,CONCESION MINERA,NO METALICO,ARCILLA, SOCIEDAD ANONIMA MINERA ZAMIN
179,PANANZA 1,SAN JUAN BOSCO,SAN JUAN BOSCO,MORONA SANTIAGO,INSCRITA,1004936400000,EXPLORACION-EXPLOTACION,100390.1,27,257,PEQUEÑA MINERIA,CONCESION MINERA,NO METALICO,ARCILLA, SOCIEDAD ANONIMA MINERA ZAMIN
